<<<<<<< HEAD
"","FC","log2(FC)","raw.pval","-log10(p)"
"HMDB00670",1.6117,0.68854,0.1338,0.87353
"HMDB00148",1.7282,0.78927,0.13391,0.87319
"HMDB04620",1.4516,0.53763,0.13697,0.86336
"HMDB00517",1.8341,0.87504,0.13808,0.85986
"HMDB42093",1.7527,0.80961,0.14105,0.85064
"HMDB00784",0.46449,-1.1063,0.14276,0.8454
"HMDB07873",10.05,3.3291,0.14323,0.84397
"HMDB06729",1.7389,0.7982,0.1441,0.84133
"HMDB01488",0.80495,-0.31303,0.14421,0.84099
"HMDB00056",1.7009,0.76634,0.14636,0.83458
"HMDB02005",1.8253,0.86811,0.14638,0.83452
"HMDB03229",1.2579,0.33103,0.14927,0.82604
"HMDB00884",1.4395,0.52553,0.15049,0.82248
"HMDB29757",0.4935,-1.0189,0.151,0.82103
"HMDB01161",1.4438,0.52991,0.15286,0.8157
"HMDB08923",1.6349,0.70923,0.15426,0.81175
"HMDB00892",0.7815,-0.35569,0.15817,0.80088
"HMDB01847",0.6066,-0.72118,0.16137,0.79217
"HMDB00216",0.757,-0.40163,0.16149,0.79184
"HMDB11565",0.64357,-0.63583,0.16513,0.78218
"HMDB11252",6.7692,2.759,0.1655,0.78119
"HMDB00699",1.836,0.87653,0.16972,0.77027
"HMDB00506",1.0614,0.085992,0.17208,0.76428
"HMDB13622",1.8242,0.86723,0.17657,0.75308
"HMDB00904",1.4824,0.56794,0.18074,0.74296
"HMDB05377",0.47725,-1.0672,0.18228,0.73927
"HMDB02302",0.73477,-0.44463,0.18928,0.7229
"HMDB00448",0.49808,-1.0055,0.19284,0.7148
"HMDB05462",3.7289,1.8988,0.19435,0.71143
"HMDB00761",0.92082,-0.119,0.19695,0.70564
"HMDB00254",1.3676,0.45164,0.19821,0.70287
"HMDB07973",7.2726,2.8625,0.19843,0.7024
"HMDB00874",1.5585,0.64011,0.20187,0.69493
"HMDB02203",1.39,0.47508,0.20194,0.69478
"HMDB00034",0.733,-0.44812,0.20406,0.69023
"HMDB00391",3.4543,1.7884,0.20694,0.68415
"HMDB61710",2.2929,1.1972,0.209,0.67985
"HMDB00182",1.4915,0.5768,0.21007,0.67764
"HMDB42104",1.6458,0.71878,0.21432,0.66894
"HMDB00187",1.9815,0.98657,0.21547,0.66661
"HMDB08039",8.5532,3.0965,0.21727,0.663
"HMDB10419",1.6285,0.70357,0.21952,0.65853
"HMDB11210",4.5089,2.1728,0.2197,0.65817
"HMDB02231",1.365,0.44889,0.22151,0.6546
"HMDB00134",1.497,0.58208,0.22284,0.65201
"HMDB12252",1.7728,0.82604,0.22385,0.65004
"HMDB13331",2.6998,1.4329,0.22395,0.64985
"HMDB11621",0.13535,-2.8853,0.22673,0.64449
"HMDB00054",2.588,1.3718,0.22949,0.63924
"HMDB00355",1.8355,0.87621,0.23225,0.63405
"HMDB00220",1.3344,0.41618,0.23273,0.63315
"HMDB07219",0.73908,-0.43621,0.2379,0.6236
"HMDB04610",0.7041,-0.50615,0.24023,0.61938
"HMDB02250",2.0286,1.0205,0.24779,0.60592
"HMDB05436",4.1773,2.0626,0.25016,0.60178
"HMDB13339",1.5431,0.62586,0.25019,0.60173
"HMDB13325",2.3122,1.2093,0.25199,0.59862
"HMDB03282",2.6151,1.3869,0.25229,0.5981
"HMDB00062",1.5258,0.60956,0.25362,0.59581
"HMDB00214",1.7822,0.83365,0.2541,0.59499
"HMDB00767",2.1206,1.0845,0.25715,0.58982
"HMDB04704",1.335,0.41683,0.2638,0.57873
"HMDB00206",1.1611,0.21555,0.27219,0.56512
"HMDB00764",1.0075,0.010757,0.2729,0.564
"HMDB07983",1.577,0.6572,0.27727,0.5571
"HMDB00715",1.4531,0.53918,0.27953,0.55357
"HMDB00269",0.74267,-0.4292,0.2803,0.55238
"HMDB00017",0.92898,-0.10628,0.28108,0.55117
"HMDB29416",1.5622,0.64361,0.28448,0.54595
"HMDB05391",0.62441,-0.67943,0.28788,0.54078
"HMDB07991",2.4832,1.3122,0.28807,0.5405
"HMDB01886",0.64531,-0.63193,0.29009,0.53746
"HMDB59655",1.4279,0.51387,0.29401,0.53164
"HMDB00898",2.252,1.1712,0.29414,0.53145
"HMDB05384",0.71419,-0.48561,0.29449,0.53092
"HMDB03339",1.3422,0.42456,0.29606,0.52862
"HMDB02068",1.302,0.38072,0.29699,0.52726
"HMDB04072",1.4562,0.54216,0.30224,0.51965
"HMDB00696",1.44,0.52606,0.3036,0.51769
"HMDB01954",1.2122,0.27759,0.30751,0.51215
"HMDB00522",1.4572,0.54322,0.3125,0.50515
"HMDB02013",1.1972,0.25966,0.32096,0.49355
"HMDB00067",1.1697,0.22613,0.32309,0.49067
"HMDB04400",0.81633,-0.29278,0.32346,0.49018
"HMDB00626",0.96981,-0.044225,0.32567,0.48722
"HMDB00157",1.7783,0.83049,0.32907,0.48271
"HMDB00289",1.9554,0.96747,0.3321,0.47873
"HMDB13222",0.83069,-0.26762,0.33423,0.47595
"HMDB01138",0.81828,-0.28934,0.33694,0.47244
"HMDB05385",0.78496,-0.34931,0.33822,0.4708
"HMDB04952",1.2885,0.36566,0.33909,0.46969
"HMDB10368",0.85957,-0.21831,0.34088,0.46739
"HMDB00162",1.6774,0.74622,0.35059,0.4552
"HMDB00407",1.1662,0.22187,0.35731,0.44696
"HMDB00030",1.138,0.18654,0.36415,0.43872
"HMDB00210",0.82072,-0.28503,0.36574,0.43682
"HMDB00535",0.88391,-0.17804,0.36772,0.43449
"HMDB01388",1.1606,0.21493,0.37102,0.4306
"HMDB00020",1.5678,0.64873,0.37188,0.4296
"HMDB07100",0.66254,-0.59392,0.37384,0.42732
"HMDB11220",4.9606,2.3105,0.38519,0.41433
"HMDB03464",1.5095,0.5941,0.38572,0.41373
"HMDB00802",1.3222,0.40297,0.39014,0.40878
"HMDB00824",3.2693,1.709,0.39084,0.40801
"HMDB07102",0.74941,-0.41618,0.39283,0.4058
"HMDB00191",1.2301,0.29873,0.39866,0.3994
"HMDB00296",1.1959,0.25814,0.39942,0.39857
"HMDB00873",0.85243,-0.23035,0.39971,0.39826
"HMDB00827",1.6681,0.73823,0.40624,0.39122
"HMDB00168",1.2689,0.34363,0.40819,0.38914
"HMDB01232",3.5648,1.8338,0.41139,0.38574
"HMDB62781",1.8064,0.85311,0.41545,0.38148
"HMDB00957",0.95267,-0.069953,0.41619,0.38071
"HMDB00245",1.7312,0.79178,0.41767,0.37917
"HMDB00801",1.9273,0.94658,0.42021,0.37653
"HMDB02000",1.4373,0.5234,0.42115,0.37556
"HMDB00472",3.7258,1.8976,0.42585,0.37074
"HMDB11701",1.7416,0.8004,0.42702,0.36956
"HMDB04705",1.3111,0.39081,0.42776,0.3688
"HMDB06029",1.2964,0.37451,0.4284,0.36816
"HMDB00118",0.99964,-0.00051418,0.4285,0.36805
"HMDB00866",1.2774,0.35326,0.43023,0.3663
"HMDB10411",2.5313,1.3399,0.43094,0.36558
"HMDB05432",1.5222,0.60614,0.43166,0.36486
"HMDB00672",0.98697,-0.018923,0.43834,0.35819
"HMDB06725",1.58,0.65989,0.43835,0.35818
"HMDB04326",1.2583,0.33151,0.44056,0.356
"HMDB00557",0.23266,-2.1037,0.44312,0.35348
"HMDB06023",0.88526,-0.17583,0.44764,0.34907
"HMDB01046",0.29762,-1.7484,0.44829,0.34844
"HMDB00209",0.96413,-0.052695,0.45462,0.34235
"HMDB05362",1.1599,0.21395,0.45563,0.34139
"HMDB00679",1.0483,0.068116,0.45706,0.34003
"HMDB07128",1.0162,0.023211,0.45737,0.33973
"HMDB00510",1.4072,0.49281,0.46539,0.33218
"HMDB07218",0.85453,-0.2268,0.46767,0.33006
"HMDB00688",2.2578,1.1749,0.47084,0.32712
"HMDB07098",0.77145,-0.37436,0.47238,0.32571
"HMDB00133",1.1952,0.25727,0.47364,0.32455
"HMDB01169",2.504,1.3242,0.47774,0.3208
"HMDB05357",0.95593,-0.065018,0.48201,0.31694
"HMDB00895",0.7933,-0.33405,0.48606,0.31331
"HMDB01889",0.80335,-0.3159,0.4956,0.30487
"HMDB00786",1.2488,0.32055,0.49794,0.30283
"HMDB07132",0.93088,-0.10334,0.50259,0.29879
"HMDB03431",1.4103,0.496,0.50307,0.29838
"HMDB05398",0.65694,-0.60617,0.50393,0.29763
"HMDB01406",0.73824,-0.43783,0.50422,0.29738
"HMDB14420",1.2541,0.32661,0.50728,0.29475
"HMDB62548",1.488,0.57334,0.50866,0.29357
"HMDB10375",1.9895,0.99238,0.51351,0.28945
"HMDB00714",1.6624,0.73325,0.51488,0.28829
"HMDB10325",0.85048,-0.23364,0.51563,0.28766
"HMDB01185",1.269,0.34372,0.52173,0.28256
"HMDB08925",0.32728,-1.6114,0.52942,0.2762
"HMDB01924",0.97616,-0.034818,0.53003,0.2757
"HMDB07099",1.0921,0.12713,0.53215,0.27397
"HMDB00772",1.8103,0.85626,0.53457,0.272
"HMDB00925",2.5275,1.3377,0.53758,0.26956
"HMDB42063",1.9914,0.99382,0.54854,0.26079
"HMDB00101",1.612,0.68884,0.55259,0.25759
"HMDB13133",2.6102,1.3841,0.55733,0.25389
"HMDB00237",1.0122,0.017429,0.55888,0.25269
"HMDB00511",0.97858,-0.031234,0.5605,0.25142
"HMDB07011",0.96413,-0.052699,0.56854,0.24524
"HMDB00063",0.96204,-0.055829,0.57127,0.24316
"HMDB00212",0.95128,-0.072064,0.57168,0.24284
"HMDB00050",1.2984,0.37676,0.57174,0.2428
"HMDB13326",1.9282,0.94723,0.57506,0.24029
"HMDB02014",2.9714,1.5712,0.57528,0.24012
"HMDB05370",0.95463,-0.066984,0.57949,0.23695
"HMDB00226",1.0016,0.0022593,0.58786,0.23073
"HMDB05365",0.67921,-0.55807,0.5919,0.22775
"HMDB00039",1.0511,0.071865,0.59568,0.22499
"HMDB02271",1.1199,0.16339,0.59788,0.22339
"HMDB02259",0.85767,-0.2215,0.60465,0.2185
"HMDB00482",1.0171,0.024529,0.60718,0.21668
"HMDB05369",0.97019,-0.043662,0.60925,0.21521
"HMDB00529",1.1101,0.1507,0.60959,0.21496
"HMDB29377",0.75009,-0.41486,0.61819,0.20888
"HMDB00317",1.1667,0.22243,0.61826,0.20883
"HMDB05380",0.89441,-0.16099,0.62386,0.20491
"HMDB32055",1.8173,0.86182,0.63347,0.19827
"HMDB05376",1.1527,0.205,0.63984,0.19393
"HMDB07158",0.74304,-0.42849,0.65582,0.18321
"HMDB00092",1.2144,0.28022,0.6566,0.1827
"HMDB60038",0.72406,-0.46582,0.66453,0.17748
"HMDB05404",1.1139,0.15559,0.67036,0.17369
"HMDB08270",4.1641,2.058,0.67439,0.17109
"HMDB03070",1.1607,0.21503,0.68059,0.16712
"HMDB00259",0.47194,-1.0833,0.68162,0.16646
"HMDB00207",1.0224,0.032029,0.6822,0.16609
"HMDB00089",0.9365,-0.094641,0.68632,0.16347
"HMDB00139",1.0834,0.11552,0.68815,0.16232
"HMDB00733",1.0667,0.093184,0.69767,0.15635
"HMDB01859",0.70851,-0.49714,0.7035,0.15274
"HMDB01227",2.4451,1.2899,0.71676,0.14463
"HMDB05396",1.2397,0.30996,0.72084,0.14216
"HMDB03333",1.3773,0.46187,0.72151,0.14176
"HMDB13288",0.7785,-0.36123,0.72155,0.14173
"HMDB11131",0.89592,-0.15856,0.72815,0.13778
"HMDB00300",0.92126,-0.11831,0.7283,0.13769
"HMDB01547",2.0982,1.0691,0.7312,0.13597
"HMDB02320",1.5748,0.6552,0.74169,0.12978
"HMDB03349",1.352,0.43513,0.74174,0.12975
"HMDB07216",0.91959,-0.12094,0.74296,0.12903
"HMDB43058",1.1484,0.19957,0.75027,0.12478
"HMDB05476",1.7439,0.8023,0.7563,0.12131
"HMDB00673",1.0154,0.021991,0.76273,0.11763
"HMDB00014",1.0051,0.0073815,0.77043,0.11327
"HMDB00197",1.2248,0.29254,0.77073,0.1131
"HMDB00703",0.86883,-0.20286,0.78171,0.10695
"HMDB00872",0.99701,-0.0043155,0.78286,0.10632
"HMDB00638",0.61513,-0.70103,0.78514,0.10505
"HMDB00806",0.98601,-0.02033,0.79244,0.10103
"HMDB06736",0.85641,-0.22363,0.79474,0.099776
"HMDB01370",0.67682,-0.56315,0.79533,0.099453
"HMDB00826",1.1462,0.1969,0.80029,0.096751
"HMDB00152",1.1119,0.15302,0.8067,0.093287
"HMDB04827",1.1394,0.18823,0.80996,0.091534
"HMDB13253",1.1765,0.23455,0.81063,0.09118
"HMDB00019",1.0185,0.026475,0.81833,0.087072
"HMDB05395",1.3372,0.41922,0.82045,0.085948
"HMDB00623",0.9897,-0.014939,0.82826,0.081831
"HMDB00698",1.7305,0.79122,0.84399,0.073661
"HMDB05435",0.96203,-0.055849,0.84884,0.071173
"HMDB00132",0.87196,-0.19766,0.84946,0.070857
"HMDB05410",0.92059,-0.11936,0.86448,0.063244
"HMDB05367",1.1198,0.16318,0.86865,0.061153
"HMDB31106",1.593,0.67178,0.87459,0.058197
"HMDB05456",1.0747,0.10389,0.87877,0.056126
"HMDB00195",1.0206,0.02941,0.87893,0.056044
"HMDB00262",0.80624,-0.31073,0.88328,0.053904
"HMDB11582",1.0762,0.10599,0.88582,0.052655
"HMDB11526",0.74779,-0.41929,0.9014,0.045081
"HMDB05433",1.2155,0.28153,0.9035,0.044072
"HMDB02261",1.2751,0.35058,0.90436,0.043656
"HMDB00630",0.96697,-0.048457,0.90994,0.040989
"HMDB00812",1.644,0.71721,0.91029,0.040822
"HMDB42466",1.314,0.39395,0.91616,0.038028
"HMDB15371",1.0058,0.0083148,0.91913,0.036625
"HMDB00956",3.659,1.8715,0.91962,0.036393
"HMDB01563",0.86007,-0.21747,0.92317,0.034719
"HMDB00244",1.1372,0.18555,0.93063,0.031222
"HMDB08048",2.9776,1.5742,0.93162,0.03076
"HMDB59824",0.94808,-0.07692,0.93279,0.030218
"HMDB11718",1.0615,0.086117,0.93369,0.029798
"HMDB01518",1.0604,0.084556,0.93566,0.028881
"HMDB00651",1.8212,0.86492,0.93863,0.027508
"HMDB10412",1.3014,0.38007,0.93873,0.02746
"HMDB13716",1.0769,0.10682,0.94135,0.02625
"HMDB02212",0.9391,-0.090643,0.94584,0.024183
"HMDB05356",1.4468,0.5329,0.94626,0.023991
"HMDB05405",1.2673,0.34173,0.95096,0.02184
"HMDB13733",1.0489,0.068942,0.95345,0.020704
"HMDB00044",1.0173,0.02479,0.95558,0.019733
"HMDB00870",1.691,0.75784,0.95982,0.01781
"HMDB05403",1.5973,0.6756,0.9738,0.011531
"HMDB04030",1.4423,0.52835,0.97464,0.011154
"HMDB42226",0.92864,-0.10681,0.98312,0.0073942
"HMDB00292",1.0403,0.057012,0.98754,0.0054449
"HMDB11517",1.3837,0.46854,0.99808,0.00083507
=======
"","FC","log2(FC)","raw.pval","-log10(p)"
"HMDB06726",4.1413,2.0501,4.5624e-05,4.3408
"HMDB02064",9.1593,3.1952,0.00017507,3.7568
"HMDB00610",2.9405,1.5561,0.00017876,3.7477
"HMDB10169",5.1984,2.3781,0.0002482,3.6052
"HMDB01539",3.0439,1.6059,0.00035441,3.4505
"HMDB00097",4.1312,2.0465,0.00065664,3.1827
"HMDB01414",5.4143,2.4368,0.00080129,3.0962
"HMDB06344",9.0083,3.1713,0.00098597,3.0061
"HMDB10407",4.4014,2.138,0.0013237,2.8782
"HMDB02226",5.0855,2.3464,0.0013764,2.8612
"HMDB10384",7.0325,2.814,0.0018533,2.7321
"HMDB01043",3.6046,1.8498,0.0018833,2.7251
"HMDB00064",8.7766,3.1337,0.0019682,2.7059
"HMDB12107",4.7039,2.2339,0.0019851,2.7022
"HMDB04159",0.24225,-2.0454,0.0020288,2.6928
"HMDB00222",5.6418,2.4962,0.0023225,2.634
"HMDB00251",3.3687,1.7522,0.0025416,2.5949
"HMDB00848",2.4986,1.3211,0.002587,2.5872
"HMDB04161",0.18883,-2.4049,0.0032929,2.4824
"HMDB11130",11.175,3.4822,0.0041133,2.3858
"HMDB12104",4.4234,2.1452,0.0043353,2.363
"HMDB11697",2.8539,1.513,0.0043811,2.3584
"HMDB05060",2.7978,1.4843,0.0051443,2.2887
"HMDB00885",2.0654,1.0464,0.0055649,2.2545
"HMDB02925",2.8035,1.4872,0.0056989,2.2442
"HMDB04824",11.599,3.5359,0.0064156,2.1928
"HMDB10382",3.4375,1.7814,0.0065785,2.1819
"HMDB10370",2.3091,1.2073,0.0073543,2.1335
"HMDB10393",2.8497,1.5108,0.0081929,2.0866
"HMDB11507",3.6129,1.8532,0.0091511,2.0385
"HMDB00159",3.6332,1.8613,0.0093701,2.0283
"HMDB01976",2.4518,1.2938,0.0098782,2.0053
"HMDB00562",4.0074,2.0027,0.0099683,2.0014
"HMDB04953",3.2117,1.6833,0.010649,1.9727
"HMDB01906",1.8556,0.89189,0.01096,1.9602
"HMDB05065",4.4136,2.142,0.011387,1.9436
"HMDB00452",2.4842,1.3128,0.011612,1.9351
"HMDB11208",17.422,4.1228,0.011695,1.932
"HMDB07199",8.0669,3.012,0.012099,1.9172
"HMDB00201",8.113,3.0202,0.012458,1.9046
"HMDB10404",2.3995,1.2627,0.012543,1.9016
"HMDB05066",5.8213,2.5413,0.013186,1.8799
"HMDB00613",1.7264,0.78774,0.013806,1.8599
"HMDB01325",4.4268,2.1463,0.014121,1.8501
"HMDB00174",1.5766,0.65678,0.014589,1.836
"HMDB02183",2.4916,1.3171,0.01495,1.8254
"HMDB12102",2.5663,1.3597,0.01611,1.7929
"HMDB00167",3.1302,1.6463,0.017096,1.7671
"HMDB00619",2.9283,1.5501,0.01736,1.7604
"HMDB06733",2.1878,1.1295,0.017571,1.7552
"HMDB13287",3.1915,1.6742,0.017958,1.7457
"HMDB03357",1.4443,0.53035,0.018286,1.7379
"HMDB00194",3.0409,1.6045,0.018988,1.7215
"HMDB06731",3.9253,1.9728,0.019745,1.7045
"HMDB37942",0.52198,-0.93793,0.020937,1.6791
"HMDB00555",0.52969,-0.91678,0.021721,1.6631
"HMDB00708",7.22,2.852,0.021921,1.6591
