ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP430	Statin inhibition of cholesterol production	10/642	25/6026	0.000129421665664085	0.00195345826611728	0.00158371248773156	64240/64241/335/337/338/341/345/3949/4547/6713	10
WP5092	Interactions of natural killer cells in pancreatic cancer	10/642	25/6026	0.000129421665664085	0.00195345826611728	0.00158371248773156	6347/6348/6351/1437/2214/3002/3458/4277/5551/7124	10
WP2289	Drug induction of bile acid pathway	7/642	13/6026	0.000145524866378281	0.00212995486244574	0.00172680224219204	5243/1244/1576/9971/9970/200931/6822	7
WP2431	Spinal cord injury	23/642	98/6026	0.000184856952342835	0.00256698074298755	0.00208110893841423	301/63827/6347/50515/1282/2919/3627/2920/2212/3383/3458/3552/3553/3569/10288/11025/4321/4318/4843/5320/5743/6403/7124	23
WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	18/642	68/6026	0.000186013097317939	0.00256698074298755	0.00208110893841423	6347/958/1594/1673/10964/3458/3569/9636/5600/6300/64127/4939/91543/6258/6772/7097/51311/7124	18
WP1604	Codeine and morphine metabolism	6/642	10/6026	0.000205955274809574	0.00276323327036179	0.00224021526985853	5243/1244/1558/1565/1576/7364	6
WP2911	miRNA targets in ECM and membrane receptors	9/642	22/6026	0.000231350782729394	0.00302006562319723	0.00244843502632531	1278/1281/1282/1284/1290/50509/1291/1293/7058	9
WP545	Complement activation	8/642	18/6026	0.000262737633219994	0.00330874018369349	0.0026824699756652	715/717/720/721/1604/629/5199/5648	8
WP2875	Constitutive androstane receptor pathway	10/642	27/6026	0.000274015750202359	0.00330874018369349	0.0026824699756652	5243/1244/1555/1557/1559/1576/2939/9970/6822/54657	10
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	10/642	27/6026	0.000274015750202359	0.00330874018369349	0.0026824699756652	59272/6347/2939/3553/3569/4312/4314/5593/23657/7124	10
WP117	GPCRs, other	12/642	37/6026	0.000289254857169251	0.0034075633173841	0.00276258810954971	27202/1234/3577/3579/1909/29933/11245/53831/59340/53829/5737/6752	12
WP176	Folate metabolism	14/642	48/6026	0.000322723949458835	0.00358285171198803	0.00290469834773793	335/338/875/6347/3383/3458/3553/3569/3949/6288/6289/5054/6648/7124	14
WP558	Complement and coagulation cascades	14/642	48/6026	0.000322723949458835	0.00358285171198803	0.00290469834773793	715/717/721/728/1604/629/3426/5648/5328/5329/5054/710/7056/7450	14
WP2880	Glucocorticoid receptor pathway	17/642	65/6026	0.000326388147675928	0.00358285171198803	0.00290469834773793	51129/8553/330/6347/6364/1907/9982/3589/8972/9970/5142/5743/6286/5272/5552/2040/7056	17
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	10/642	28/6026	0.000386124876975067	0.00414440701286572	0.00335996384174795	6347/29126/941/1493/3627/3559/8651/7042/7043/51311	10
WP5174	Ulcerative colitis signaling	7/642	15/6026	0.000450538548600151	0.00473065476030158	0.00383524805673355	50943/3458/3586/4094/64127/7097/7124	7
WP4329	miRNAs involvement in the immune response in sepsis	12/642	39/6026	0.000499916109988796	0.00503040585676226	0.00407826300254018	6348/6351/3002/3383/3586/3552/3569/3659/3934/407008/51311/7124	12
WP5097	CCL18 signaling pathway	12/642	39/6026	0.000499916109988796	0.00503040585676226	0.00407826300254018	467/1237/1278/1437/3091/440823/4313/4318/6615/6772/7291/652995	12
WP2848	Pluripotent stem cell differentiation pathway	11/642	34/6026	0.000529169939806121	0.00521610369237462	0.00422881240833248	3577/22943/2255/3082/3589/3569/3624/6469/7043/7472/7474	11
WP5094	Orexin receptor pathway	24/642	112/6026	0.000576682512802971	0.0055707530736767	0.00451633462658327	8553/2920/1734/1846/1959/1960/1839/3091/3383/3586/3553/3569/3726/3949/23764/4322/4314/64106/8013/5069/6401/6696/3371/7124	24
WP167	Eicosanoid synthesis	8/642	20/6026	0.000623030726444013	0.00590046746808742	0.00478364149096332	246/240/1800/5320/80339/5730/9536/5743	8
WP4969	RAS and bradykinin pathways in COVID-19	9/642	25/6026	0.000708225248541146	0.0065783229816418	0.0053331941792977	1636/59272/183/1576/3552/3553/5054/710/7124	9
WP299	Nuclear receptors in lipid metabolism and toxicity	9/642	26/6026	0.000982328179385583	0.00878637982672661	0.00712331545285452	5243/1244/64240/1594/1555/1559/1576/9971/9970	9
WP453	Inflammatory response pathway	9/642	26/6026	0.000982328179385583	0.00878637982672661	0.00712331545285452	958/941/1277/1278/1281/3458/3559/3568/3918	9
WP75	Toll-like receptor signaling pathway	19/642	84/6026	0.00106590639251095	0.00936059613786888	0.00758884551223106	6348/6351/958/941/3627/6373/4283/3553/3569/23643/1326/5600/6300/8503/6696/6772/7097/51311/7124	19
WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	11/642	37/6026	0.00117422634381596	0.0101277022154126	0.00821075563720932	84674/834/838/50506/3553/4210/91662/114548/199713/64127/639	11
WP4724	Omega-9 fatty acid synthesis	6/642	13/6026	0.0012697122908058	0.0107591409905123	0.00872267723323655	2180/2182/54898/3992/9415/6319	6
WP465	Tryptophan metabolism	10/642	33/6026	0.00166399181055191	0.0137005749741406	0.0111073638234288	8854/316/1545/1562/1576/9420/3620/8942/4129/6999	10
WP5033	Genes associated with the development of rheumatoid arthritis	7/642	18/6026	0.00167356919973974	0.0137005749741406	0.0111073638234288	958/4261/1493/3559/23569/6583/7185	7
WP697	Estrogen metabolism	6/642	14/6026	0.00202367318151928	0.0162905691112302	0.0132071302372837	1545/1576/2938/412/6783/7364	6
WP716	Vitamin A and carotenoid metabolism	10/642	34/6026	0.00213683425669598	0.0169195237046584	0.0137170378514393	64240/64241/8854/1381/1382/56603/9227/29881/5948/6258	10
WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	6/642	15/6026	0.00307242960346536	0.0239352177173188	0.0194048185482023	335/338/3949/9388/4547/255738	6
WP5044	Kynurenine pathway and links to cell senescence	7/642	20/6026	0.00337155422970255	0.0258485824277196	0.0209560262898805	3620/169355/3458/8564/8942/6999/7124	7
WP3942	PPAR signaling pathway	13/642	54/6026	0.0035867758959889	0.0270689493400412	0.02194540515309	2180/2182/51129/335/345/126129/2172/9415/4199/4312/4973/6258/6319	13
WP4478	LTF danger signal response pathway	6/642	16/6026	0.0044791171183448	0.0322897547486647	0.0261780293483781	3552/3553/3569/7097/7124/54210	6
WP4493	Cells and molecules involved in local acute inflammatory response 	6/642	16/6026	0.0044791171183448	0.0322897547486647	0.0261780293483781	3383/3552/3569/3689/6403/7124	6
WP516	Hypertrophy model	6/642	16/6026	0.0044791171183448	0.0322897547486647	0.0261780293483781	467/11072/1839/3458/3552/8013	6
WP4538	Regulatory circuits of the STAT3 signaling pathway	16/642	75/6026	0.00480033997996025	0.0340965325047176	0.0276428246524026	1271/1439/1441/2151/3595/3601/50615/3559/3568/3575/5600/6300/9180/5159/11122/9021	16
WP2884	NRF2 pathway	22/642	116/6026	0.00487644171580586	0.034135092010641	0.0276740857098365	1244/874/2938/2939/1839/3082/23764/4199/6514/6515/11182/115584/159963/6527/200010/11254/340024/6532/23657/7042/54657/7364	22
WP4304	Oligodendrocyte specification and differentiation, leading to myelin components for CNS	7/642	22/6026	0.00613912872833673	0.0423599882255234	0.0343421937885904	2919/2920/3553/5354/6469/55553/7124	7
WP3967	miR-509-3p alteration of YAP1/ECM axis	6/642	17/6026	0.0063086832850275	0.0429168172770181	0.034793627606082	1277/1281/1909/6678/7058/7291	6
WP4239	Epithelial to mesenchymal transition in colorectal cancer	24/642	134/6026	0.00709882681622647	0.0476212965588526	0.038607654614565	9076/24146/51208/1282/1284/94234/11211/3091/3678/5600/6300/4313/4318/4854/4855/8503/6615/6678/7042/7043/7291/7480/7472/7474	24
WP3893	Development and heterogeneity of the ILC family	7/642	23/6026	0.00803096702251896	0.0531363982448857	0.043078871411349	3458/3605/3553/51561/3569/30009/7124	7
WP4723	Omega-3 / omega-6 fatty acid synthesis	5/642	13/6026	0.00838677168776044	0.0547406854755175	0.0443795030988177	2180/2182/54898/3992/9415	5
WP497	Urea cycle and metabolism of amino groups	6/642	18/6026	0.00862624032767138	0.0548220273455958	0.0444454487796919	384/445/1373/2628/4942/5009	6
WP5149	Lipid metabolism in senescent cells	6/642	18/6026	0.00862624032767138	0.0548220273455958	0.0444454487796919	240/84647/50487/283748/7941/5743	6
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	9/642	35/6026	0.00926783398687066	0.0581345950085523	0.0471310217787544	285/597/664/3091/4843/5743/5054/6515/7043	9
WP3929	Chemokine signaling pathway	26/642	152/6026	0.0095551605848468	0.0591684943907821	0.047969227227571	6356/6361/6364/6370/10344/6348/6351/1230/2826/1232/1237/10803/3627/6373/2921/6374/4283/3579/10663/2268/2786/3055/4067/5196/8503/6772	26
WP4210	Tryptophan catabolism leading to NAD+ production	5/642	14/6026	0.01192182641345	0.0719780269712042	0.0583542029710973	3620/8564/8942/10135/6999	5
WP5063	FOXP3 in COVID-19	5/642	14/6026	0.01192182641345	0.0719780269712042	0.0583542029710973	941/50943/3559/3569/3575	5
WP4496	Signal transduction through IL1R	8/642	31/6026	0.0135769042927147	0.0809585774491504	0.0656349369316421	3552/3553/3557/3569/11213/7042/7043/7124	8
WP2374	Oncostatin M signaling pathway	13/642	64/6026	0.0157642337048974	0.0922585470377539	0.0747960760554527	6347/1051/3091/3726/3949/4312/4322/4314/5008/9180/5054/9021/6772	13
WP4389	Bile acids synthesis and enterohepatic circulation 	4/642	10/6026	0.0158539532176679	0.0922585470377539	0.0747960760554527	64240/64241/3949/6555	4
WP5109	Familial hyperlipidemia type 2	5/642	15/6026	0.0163465248184423	0.0939925177060432	0.0762018450183024	335/337/338/3949/255738	5
WP4718	Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	10/642	45/6026	0.017795347309814	0.101119444125178	0.0819798043250874	2180/2182/9023/54898/3992/9415/4597/6319/8435/6713	10
WP727	Monoamine transport	6/642	21/6026	0.0191278046783311	0.107427089065511	0.0870935537373216	183/3553/6532/6999/7124/4982	6
WP5122	Prostaglandin and leukotriene metabolism in senescence 	7/642	27/6026	0.019991417852194	0.110986837041491	0.0899795213674066	246/240/3488/5600/5730/9536/5743	7
WP4747	Netrin-UNC5B signaling pathway	10/642	46/6026	0.0206435058925857	0.113304697114988	0.0918586625842332	249/6347/1003/1277/3383/3586/3552/54538/6401/7124	10
WP247	Small ligand GPCRs	5/642	16/6026	0.0217408010457593	0.117986594439345	0.095654381892637	4543/5724/5737/5739/8698	5
WP5130	Th17 cell differentiation pathway	12/642	61/6026	0.0252604557887923	0.135564446066518	0.109905140975798	50943/3091/3458/3605/3553/50615/51561/3559/3569/9021/6772/30009	12
WP4136	Fibrin complement receptor 3 signaling pathway	8/642	35/6026	0.027735639353227	0.146306673166119	0.118614105737814	6347/3627/2921/3569/3689/23643/4843/7124	8
WP3287	Overview of nanoparticle effects	5/642	17/6026	0.0281708501127309	0.146306673166119	0.118614105737814	1001/1282/3569/5743/7124	5
WP4790	FGF23 signaling in hypophosphatemic rickets and related disorders	5/642	17/6026	0.0281708501127309	0.146306673166119	0.118614105737814	249/1594/5251/142680/6696	5
WP4197	Immune response to tuberculosis	6/642	23/6026	0.0296341785608943	0.150518598916428	0.122028808536365	3437/8519/3659/8651/6772/6890	6
WP5183	SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	6/642	23/6026	0.0296341785608943	0.150518598916428	0.122028808536365	1636/59272/183/3569/114548/7124	6
WP364	IL6 signaling pathway	9/642	42/6026	0.0299167401573024	0.150518598916428	0.122028808536365	183/3055/3569/3659/3726/639/9021/6772/7076	9
WP3611	Photodynamic therapy-induced AP-1 survival signaling	10/642	49/6026	0.0311682407856589	0.155015539863769	0.125674579556112	602/2252/1839/3458/3569/3726/5600/6300/4313/7124	10
WP4495	IL-10 anti-inflammatory signaling pathway 	4/642	12/6026	0.031452428378156	0.155015539863769	0.125674579556112	3586/3552/3569/6772	4
WP2873	Aryl hydrocarbon receptor pathway	8/642	36/6026	0.0324537657498492	0.158335038961385	0.128365772024922	1545/2939/3458/3553/3726/8140/7124/54657	8
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	38/642	265/6026	0.0333390564206287	0.161027642511637	0.130548726194462	285/1277/1278/1281/1282/1284/1290/50509/84699/9586/1440/1441/2255/2252/2254/2786/3082/3091/3559/3575/3678/3687/3689/3918/10319/23566/4843/5008/9180/5159/5209/5228/6514/6515/6696/7058/3371/7450	38
WP236	Adipogenesis	19/642	115/6026	0.0338978777501358	0.162105692607085	0.131422725618035	183/1051/1271/56603/1959/3091/3569/10135/5008/80339/6258/6319/5054/8651/9021/6772/7124/7291/7480	19
WP474	Endochondral ossification	11/642	57/6026	0.0357053116731891	0.165932658500538	0.134525332815082	9507/249/50515/4256/4322/4318/5328/55553/6696/6772/7042	11
WP4808	Endochondral ossification with skeletal dysplasias	11/642	57/6026	0.0357053116731891	0.165932658500538	0.134525332815082	9507/249/50515/4256/4322/4318/5328/55553/6696/6772/7042	11
WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	6/642	24/6026	0.0360723170653344	0.165932658500538	0.134525332815082	246/240/8529/57105/1800/2358	6
WP5036	Angiotensin II receptor type 1 pathway	6/642	24/6026	0.0360723170653344	0.165932658500538	0.134525332815082	59272/183/1277/1278/3091/3589	6
WP4298	Acute viral myocarditis	14/642	79/6026	0.0377396144974469	0.171964469832706	0.139415457726418	834/1232/1234/1604/941/3458/3586/3569/3689/4318/64127/8651/6772/7124	14
WP5108	Familial  hyperlipidemia type 1	4/642	13/6026	0.0417038313516651	0.186508801322725	0.151206873906622	51129/335/337/3949	4
WP554	ACE inhibitor pathway	4/642	13/6026	0.0417038313516651	0.186508801322725	0.151206873906622	1636/59272/183/1215	4
WP2895	Differentiation of white and brown adipocyte	5/642	19/6026	0.0443281989362817	0.194641091692946	0.157799904347338	1051/253738/3224/27129/51316	5
WP5066	FOXA2 pathway	5/642	19/6026	0.0443281989362817	0.194641091692946	0.157799904347338	1244/338/2938/2939/4547	5
WP3937	Microglia pathogen phagocytosis pathway	8/642	39/6026	0.0497959427181164	0.21667964263829	0.175667052547551	2207/2209/3055/3689/4067/4688/8503/54210	8
WP2849	Hematopoietic stem cell differentiation	9/642	46/6026	0.0505598116280588	0.218039187646003	0.176769266218401	4261/1437/1440/3552/3553/3569/4778/6688/23650	9
WP4719	Eicosanoid metabolism via cyclooxygenases (COX)	6/642	26/6026	0.0514680575169682	0.219991785669873	0.178352281288423	8529/5730/9536/5737/5739/5743	6
WP12	Osteoclast signaling	4/642	14/6026	0.0536166333269511	0.223248568076874	0.180992627927639	1513/8111/6696/4982	4
WP2879	Farnesoid X receptor pathway	4/642	14/6026	0.0536166333269511	0.223248568076874	0.180992627927639	1576/8431/9971/6822	4
WP3971	OSX and miRNAs in tooth development	4/642	14/6026	0.0536166333269511	0.223248568076874	0.180992627927639	249/22943/4854/4855	4
WP98	Prostaglandin synthesis and regulation	8/642	41/6026	0.0641686390283216	0.264901304706661	0.214761436963883	301/1909/3290/5730/9536/5737/5739/5743	8
WP5087	Malignant pleural mesothelioma	50/642	381/6026	0.0661257108480201	0.270356835230705	0.219184358081775	72/285/467/834/6347/6351/29126/1001/1003/1282/1284/1437/1440/115908/1496/2919/3627/6374/22943/2255/2252/2254/8061/11211/1839/3082/3091/3620/3586/3553/3569/3689/3918/10319/4313/4314/4318/114548/5159/5228/5328/6401/6423/6425/8140/6678/6772/7480/7472/7474	50
WP3	Transcriptional activation by NRF2 in response to phytochemicals	4/642	15/6026	0.0671694000573181	0.270356835230705	0.219184358081775	1051/2939/4094/23657	4
WP4842	Mammalian disorder of sexual development	4/642	15/6026	0.0671694000573181	0.270356835230705	0.219184358081775	84733/2254/5600/5730	4
WP5222	2q13 copy number variation syndrome	9/642	49/6026	0.0710464955226	0.283598820970379	0.229919933313677	1437/3552/3553/3557/51561/3569/8651/9021/6772	9
WP4595	Urea cycle and associated pathways	5/642	22/6026	0.0771167134021178	0.305306332567401	0.247518700479619	445/1373/4843/4942/5009	5
WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	11/642	65/6026	0.0802528181075842	0.315139115007831	0.255490358031847	22943/1959/94234/2619/3458/3488/5653/5650/4488/22822/7474	11
WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)	3/642	10/6026	0.08173319606312	0.315530354512267	0.255807544684675	1116/4318/9021	3
WP4877	Host-pathogen interaction of human coronaviruses - MAPK signaling	7/642	36/6026	0.0818553546334273	0.315530354512267	0.255807544684675	684/8519/10581/10410/3726/5600/6300	7
WP3413	NOTCH1 regulation of endothelial cell calcification	4/642	16/6026	0.0823122663945043	0.315530354512267	0.255807544684675	249/2702/4256/55553	4
WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	19/642	128/6026	0.0838515791193283	0.318900100115241	0.25853947312383	116/8553/720/721/1051/2328/3091/3586/3552/3553/3557/3569/3764/5354/6507/6532/6752/7124/11076	19
WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	5/642	23/6026	0.0903063064135688	0.340765203107451	0.276266003173089	285/2022/2200/4053/5054	5
WP5144	NRP1-triggered signaling pathways in pancreatic cancer 	9/642	52/6026	0.0960373917139486	0.359581861998738	0.291521091126796	1003/1277/1278/3082/4313/4318/6615/7042/7043	9
WP5111	Familial hyperlipidemia type 4	4/642	17/6026	0.098971163711973	0.367715939022177	0.2981155700474	335/337/3949/4547	4
WP5083	Neuroinflammation and glutamatergic signaling	17/642	115/6026	0.100956388123869	0.37222851499106	0.301774016730248	2893/2898/2906/116443/3458/3586/3552/3553/3569/29968/6507/6515/9021/6772/7042/7043/7124	17
WP3871	Valproic acid pathway	3/642	11/6026	0.103813857348442	0.374194724621624	0.303368067035511	116285/1555/1559	3
WP4583	Biomarkers for urea cycle disorders	3/642	11/6026	0.103813857348442	0.374194724621624	0.303368067035511	445/2628/5009	3
WP4707	Aspirin and miRNAs	3/642	11/6026	0.103813857348442	0.374194724621624	0.303368067035511	283120/4597/5743	3
WP3927	BMP signaling in eyelid development	4/642	18/6026	0.117052065423288	0.418786278514432	0.339519441227784	2255/2296/3625/6469	4
WP4545	Oxysterols derived from cholesterol	6/642	32/6026	0.118371329625947	0.420392295656856	0.340821475393594	134526/9023/1576/9420/3605/3638	6
WP3892	Development of pulmonary dendritic cells and macrophage subsets	3/642	12/6026	0.127934333671871	0.441373451167955	0.35783136936794	55509/1437/6688	3
WP5110	Familial hyperlipidemia type 3	3/642	12/6026	0.127934333671871	0.441373451167955	0.35783136936794	335/337/3949	3
WP5112	Familial hyperlipidemia type 5	3/642	12/6026	0.127934333671871	0.441373451167955	0.35783136936794	335/337/3949	3
WP5188	Retinol metabolism	3/642	12/6026	0.127934333671871	0.441373451167955	0.35783136936794	316/1551/9227	3
WP4756	Renin-angiotensin-aldosterone system (RAAS)	6/642	33/6026	0.132421413162662	0.451657790451825	0.366169114194353	1636/183/1215/84699/9586/3283	6
WP3646	Hepatitis C and hepatocellular carcinoma	8/642	48/6026	0.132785520174243	0.451657790451825	0.366169114194353	330/1284/3577/3091/3569/4312/4843/5743	8
WP4767	FGFR3 signaling in chondrocyte proliferation and terminal differentiation	5/642	26/6026	0.136177560987991	0.454503321399826	0.368476050039741	2254/5600/6300/6615/6772	5
WP4655	Cytosolic DNA-sensing pathway	9/642	56/6026	0.136303434014806	0.454503321399826	0.368476050039741	834/843/6351/9560/3627/3553/3569/9636/81030	9
WP3599	Transcription factor regulation in adipogenesis	4/642	19/6026	0.13644509648649	0.454503321399826	0.368476050039741	1051/3569/7124/7291	4
WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	8/642	49/6026	0.144832159130661	0.479136526439104	0.388446742585478	1051/1513/3726/4129/6696/7042/4982/7480	8
